episode,step,episode_distraction_prob,x,y,dx,dy,dist_to_goal,dist_to_distractor,local_distractor,focus,speed,dir_change,fatigue
3,2,0.4394782937657222,6,7,1,1,3.605551275463989,4.242640687119285,0,1,1.4142135623730951,0.0,0
3,3,0.4394782937657222,7,7,1,0,2.8284271247461903,2.23606797749979,0,1,1.0,1.0,0
3,4,0.4394782937657222,8,8,1,1,1.4142135623730951,5.0,0,1,1.4142135623730951,1.0,0
3,5,0.4394782937657222,9,9,1,1,0.0,7.0710678118654755,0,1,1.4142135623730951,0.0,0
3,6,0.4394782937657222,9,9,0,0,0.0,5.0,0,0,0.0,2.0,1
3,7,0.4394782937657222,9,9,0,0,0.0,8.0,0,0,0.0,0.0,2
3,8,0.4394782937657222,9,9,0,0,0.0,8.0,0,0,0.0,0.0,3
3,9,0.4394782937657222,9,9,0,0,0.0,9.219544457292887,0,0,0.0,0.0,4
3,10,0.4394782937657222,9,9,0,0,0.0,9.055385138137417,0,0,0.0,0.0,5
3,11,0.4394782937657222,9,9,0,0,0.0,5.0,0,0,0.0,0.0,6
3,12,0.4394782937657222,9,9,0,0,0.0,3.0,0,0,0.0,0.0,7
3,13,0.4394782937657222,9,8,0,-1,1.0,7.0,0,0,1.0,1.0,8
3,14,0.4394782937657222,9,9,0,1,0.0,8.0,0,1,1.0,2.0,8
3,15,0.4394782937657222,9,9,0,0,0.0,2.0,1,0,0.0,1.0,9
3,16,0.4394782937657222,9,9,0,0,0.0,3.1622776601683795,0,0,0.0,0.0,10
3,17,0.4394782937657222,9,9,1,0,0.0,8.48528137423857,0,0,1.0,1.0,11
3,18,0.4394782937657222,9,9,0,0,0.0,9.219544457292887,0,0,0.0,1.0,12
3,19,0.4394782937657222,9,9,0,0,0.0,7.615773105863909,0,0,0.0,0.0,13
3,20,0.4394782937657222,9,8,1,-1,1.0,11.313708498984761,0,0,1.4142135623730951,2.0,14
3,21,0.4394782937657222,9,9,0,1,0.0,4.242640687119285,0,1,1.0,3.0,14
3,22,0.4394782937657222,8,9,-1,1,1.0,7.0710678118654755,0,0,1.4142135623730951,1.0,15
3,23,0.4394782937657222,9,9,1,0,0.0,4.123105625617661,0,1,1.0,3.0,15
3,24,0.4394782937657222,9,9,0,0,0.0,0.0,1,0,0.0,1.0,16
3,25,0.4394782937657222,9,9,0,0,0.0,9.848857801796104,0,0,0.0,0.0,17
3,26,0.4394782937657222,9,9,0,0,0.0,6.0,0,0,0.0,0.0,18
3,27,0.4394782937657222,8,9,-1,0,1.0,5.656854249492381,0,0,1.0,1.0,19
3,28,0.4394782937657222,9,9,1,0,0.0,9.848857801796104,0,1,1.0,2.0,19
3,29,0.4394782937657222,9,9,0,0,0.0,5.385164807134504,0,0,0.0,1.0,20
3,30,0.4394782937657222,9,9,0,0,0.0,5.830951894845301,0,0,0.0,0.0,21
3,31,0.4394782937657222,9,9,0,0,0.0,7.211102550927978,0,0,0.0,0.0,22
3,32,0.4394782937657222,9,9,0,0,0.0,9.219544457292887,0,0,0.0,0.0,23
3,33,0.4394782937657222,9,9,0,0,0.0,3.605551275463989,0,0,0.0,0.0,24
3,34,0.4394782937657222,9,9,0,0,0.0,10.0,0,0,0.0,0.0,25
3,35,0.4394782937657222,9,9,1,0,0.0,7.0,0,0,1.0,1.0,26
3,36,0.4394782937657222,9,9,0,0,0.0,9.219544457292887,0,0,0.0,1.0,27
3,37,0.4394782937657222,9,9,0,0,0.0,7.0,0,0,0.0,0.0,28
3,38,0.4394782937657222,9,9,0,0,0.0,3.0,0,0,0.0,0.0,29
3,39,0.4394782937657222,9,9,1,1,0.0,5.0,0,0,1.4142135623730951,2.0,30
3,40,0.4394782937657222,9,9,0,0,0.0,5.830951894845301,0,0,0.0,2.0,31
3,41,0.4394782937657222,8,9,-1,1,1.0,5.0990195135927845,0,0,1.4142135623730951,2.0,32
3,42,0.4394782937657222,9,9,1,0,0.0,8.0,0,1,1.0,3.0,32
3,43,0.4394782937657222,9,9,0,0,0.0,9.0,0,0,0.0,1.0,33
3,44,0.4394782937657222,9,9,0,0,0.0,8.94427190999916,0,0,0.0,0.0,34
3,45,0.4394782937657222,9,9,0,0,0.0,2.23606797749979,0,0,0.0,0.0,35
3,46,0.4394782937657222,9,9,0,0,0.0,10.295630140987,0,0,0.0,0.0,36
3,47,0.4394782937657222,9,9,1,1,0.0,5.830951894845301,0,0,1.4142135623730951,2.0,37
3,48,0.4394782937657222,9,9,0,0,0.0,5.0,0,0,0.0,2.0,38
3,49,0.4394782937657222,9,9,0,0,0.0,7.0,0,0,0.0,0.0,39
4,0,0.42283997730605694,3,5,1,1,7.211102550927978,5.0,0,1,1.4142135623730951,0.0,0
4,1,0.42283997730605694,4,6,1,1,5.830951894845301,5.0990195135927845,0,1,1.4142135623730951,0.0,0
4,2,0.42283997730605694,5,7,1,1,4.47213595499958,2.23606797749979,0,1,1.4142135623730951,0.0,0
